stock,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram_0,0_Histogram_1,0_Histogram_2,0_Histogram_3,0_Histogram_4,0_Histogram_5,0_Histogram_6,0_Histogram_7,0_Histogram_8,0_Histogram_9,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
JPM,72565354.32459325,2127392.3871179493,682.0,2729.0,124.26000213623047,163.85000610351562,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9733718726150787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.886241912841797,-0.17387580375056055,201.49000549316406,143.93479427950322,18.152439740439597,140.25,12.680000305175781,102.01000213623047,99.4800033569336,145.83445697343475,0.6857757200901927,23.461965741464915,550.4638364536734
MMC,109794727.27362931,3218842.781402208,682.0,2729.0,161.6300048828125,196.0800018310547,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9667034879671248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.468128204345703,-1.2849466955888078,208.5449981689453,178.58908973684905,15.013852348192426,178.0500030517578,14.800003051757812,143.97999572753906,64.56500244140625,179.38504376187055,-0.05473985491736929,16.879897879190423,284.93095241189735
MS,25503983.26565009,747698.1315054263,682.0,2729.0,81.41999816894531,91.2750015258789,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.932829652515277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.561250686645508,-0.09604917577120409,100.83000183105469,86.24040505027995,4.742882351012284,86.03250122070312,3.7550010681152344,69.73999786376953,31.090003967285156,86.45686749574978,-0.0505254769442485,6.1141208641377585,37.38247394128465
NDAQ,10867488.486558814,318601.24557487,682.0,2729.0,51.2066650390625,60.869998931884766,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9311441523726645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.324999809265137,-0.8599503419468744,68.9800033569336,56.23261080201877,4.026558464828306,56.13999938964844,4.141448974609375,46.92499923706055,22.055004119873047,56.43650138792608,0.18640910645143427,4.792929302427188,22.97217129806517
PNC,72287915.71433264,2119258.7427244983,682.0,2729.0,123.88999938964844,160.49000549316406,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9625189962898587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06249809265137,-1.316056438119068,176.1199951171875,144.49980942166005,15.765485942761291,150.57000732421875,12.489990234375,109.6592025756836,66.4607925415039,145.55540606638505,-0.3161318107957866,17.498037382923076,306.18131225417346
SCHW,15071915.865019444,441862.0892705789,682.0,2729.0,55.220001220703125,75.67500305175781,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9568512233170872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.53874969482422,-1.09643548536618,86.3499984741211,65.74363871615769,8.3189484104069,65.34499740600586,8.220001220703125,45.95000076293945,40.39999771118164,66.46296614655031,0.032148775911424815,9.751914548273287,95.09983735682418
STT,18326502.79777885,537276.5405388111,682.0,2729.0,67.83999633789062,76.9800033569336,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9186320291297672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29249382019043,1.3871160816436214,94.38999938964844,72.99155490647168,4.814460149012815,72.62250137329102,3.6574974060058594,59.30500030517578,35.084999084472656,73.28840793685433,0.933637476862622,6.589662377869034,43.42365025430258
TROW,43014866.01701273,1261063.207769356,682.0,2729.0,106.30500030517578,119.11499786376953,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.937442158389529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.424030303955078,0.0780407077570926,133.3000030517578,111.99624162206617,6.202151890290465,111.30000305175781,4.950004577636719,88.29000091552734,45.01000213623047,112.28061325465218,-0.029641622933555684,7.986111404967542,63.777975372552646
USB,5780171.880856399,169456.81269001463,682.0,2729.0,34.90999984741211,46.244998931884766,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9388834340613407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625,-0.9349773587759991,53.07500076293945,40.756053628284235,4.83501518139817,41.58250045776367,4.6875,27.670000076293945,25.405000686645508,41.1590995697246,-0.2066258779359644,5.7459176846630315,33.01557003892337
WFC,6999480.354254525,205203.17661256305,682.0,2729.0,40.709999084472656,47.915000915527344,0.00029308323563892143,0.0005861664712778429,0.0008792497069167644,0.0011723329425556857,0.0014654161781946073,0.0017584994138335288,0.0020515826494724504,0.0023446658851113715,0.002637749120750293,0.0029308323563892145,0.9324454434375554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.752499580383301,1.124551033409773,62.279998779296875,44.94454180481565,4.2206934663430875,43.46500015258789,2.7649993896484375,35.33000183105469,26.949996948242188,45.292718509888324,1.2645053997679008,5.6052218485228895,31.418511971158363
